ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,1wd,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, 1 wide,"
2,1,0.1,0,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, no run,"
3,1,0.2,1wd,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, 1 wide,"
4,1,0.2,0,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, no run,"
5,1,0.3,0,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, no run,"
6,1,0.4,0,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, no run,"
7,1,0.5,4,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, Four,"
8,1,0.6,5wd,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, 5 wide,"
9,1,0.6,0,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, no run,"
10,1,1.1,1,Prithvi Shaw,Josh Little,"Josh Little to Prithvi Shaw, 1 run,"
11,1,1.2,0,David Warner,Josh Little,"Josh Little to David Warner, no run,"
12,1,1.3,2,David Warner,Josh Little,"Josh Little to David Warner, 2 runs,"
13,1,1.4,0,David Warner,Josh Little,"Josh Little to David Warner, no run,"
14,1,1.5,2,David Warner,Josh Little,"Josh Little to David Warner, 2 runs,"
15,1,1.6,4,David Warner,Josh Little,"Josh Little to David Warner, Four,"
16,1,2.1,3wd,Prithvi Shaw,Mohammed Shami,"Mohammed Shami to Prithvi Shaw, 3 wide,"
17,1,2.1,4,Prithvi Shaw,Mohammed Shami,"Mohammed Shami to Prithvi Shaw, Four,"
18,1,2.2,0,Prithvi Shaw,Mohammed Shami,"Mohammed Shami to Prithvi Shaw, no run,"
19,1,2.3,2,Prithvi Shaw,Mohammed Shami,"Mohammed Shami to Prithvi Shaw, 2 runs,"
20,1,2.4,w,Prithvi Shaw,Mohammed Shami,"Mohammed Shami to Prithvi Shaw, no run,                           Wicket - c Alzarri Joseph b M Shami batsmen out 7(5)"
21,1,2.5,0,Mitchell Marsh,Mohammed Shami,"Mohammed Shami to Mitchell Marsh, no run,"
22,1,2.6,0,Mitchell Marsh,Mohammed Shami,"Mohammed Shami to Mitchell Marsh, no run,"
23,1,3.1,0,David Warner,Josh Little,"Josh Little to David Warner, no run,"
24,1,3.2,0,David Warner,Josh Little,"Josh Little to David Warner, no run,"
25,1,3.3,0,David Warner,Josh Little,"Josh Little to David Warner, no run,"
26,1,3.4,0,David Warner,Josh Little,"Josh Little to David Warner, no run,"
27,1,3.5,0,David Warner,Josh Little,"Josh Little to David Warner, no run,"
28,1,3.6,4,David Warner,Josh Little,"Josh Little to David Warner, Four,"
29,1,4.1,4,Mitchell Marsh,Mohammed Shami,"Mohammed Shami to Mitchell Marsh, Four,"
30,1,4.2,w,Mitchell Marsh,Mohammed Shami,"Mohammed Shami to Mitchell Marsh, no run,                           Wicket - b M Shami batsmen out 4(4)"
31,1,4.3,0,Sarfaraz Khan,Mohammed Shami,"Mohammed Shami to Sarfaraz Khan, no run,"
32,1,4.4,1,Sarfaraz Khan,Mohammed Shami,"Mohammed Shami to Sarfaraz Khan, 1 run,"
33,1,4.5,0,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, no run,"
34,1,4.6,4,David Warner,Mohammed Shami,"Mohammed Shami to David Warner, Four,"
35,1,5.1,1,Sarfaraz Khan,Hardik Pandya,"Hardik Pandya to Sarfaraz Khan, 1 run,"
36,1,5.2,4,David Warner,Hardik Pandya,"Hardik Pandya to David Warner, Four,"
37,1,5.3,0,David Warner,Hardik Pandya,"Hardik Pandya to David Warner, no run,"
38,1,5.4,1,David Warner,Hardik Pandya,"Hardik Pandya to David Warner, 1 run,"
39,1,5.5,0,Sarfaraz Khan,Hardik Pandya,"Hardik Pandya to Sarfaraz Khan, no run,"
40,1,5.6,4lb,Sarfaraz Khan,Hardik Pandya,"Hardik Pandya to Sarfaraz Khan, 4 leg bye,"
41,1,6.1,0,David Warner,Alzarri Joseph,"Alzarri Joseph to David Warner, no run,"
42,1,6.2,0,David Warner,Alzarri Joseph,"Alzarri Joseph to David Warner, no run,"
43,1,6.3,4,David Warner,Alzarri Joseph,"Alzarri Joseph to David Warner, Four,"
44,1,6.4,1wd,David Warner,Alzarri Joseph,"Alzarri Joseph to David Warner, 1 wide,"
45,1,6.4,4,David Warner,Alzarri Joseph,"Alzarri Joseph to David Warner, Four,"
46,1,6.5,0,David Warner,Alzarri Joseph,"Alzarri Joseph to David Warner, no run,"
47,1,6.6,2,David Warner,Alzarri Joseph,"Alzarri Joseph to David Warner, 2 runs,"
48,1,7.1,0,Sarfaraz Khan,Hardik Pandya,"Hardik Pandya to Sarfaraz Khan, no run,"
49,1,7.2,1,Sarfaraz Khan,Hardik Pandya,"Hardik Pandya to Sarfaraz Khan, 1 run,"
50,1,7.3,1,David Warner,Hardik Pandya,"Hardik Pandya to David Warner, 1 run,"
51,1,7.4,0,Sarfaraz Khan,Hardik Pandya,"Hardik Pandya to Sarfaraz Khan, no run,"
52,1,7.5,1,Sarfaraz Khan,Hardik Pandya,"Hardik Pandya to Sarfaraz Khan, 1 run,"
53,1,7.6,1,David Warner,Hardik Pandya,"Hardik Pandya to David Warner, 1 run,"
54,1,8.1,0,David Warner,Alzarri Joseph,"Alzarri Joseph to David Warner, no run,"
