ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,0,Virat Kohli,Jaydev Unadkat,"Jaydev Unadkat to Virat Kohli, no run,"
2,1,0.2,2,Virat Kohli,Jaydev Unadkat,"Jaydev Unadkat to Virat Kohli, 2 runs,"
3,1,0.3,0,Virat Kohli,Jaydev Unadkat,"Jaydev Unadkat to Virat Kohli, no run,"
4,1,0.4,1,Virat Kohli,Jaydev Unadkat,"Jaydev Unadkat to Virat Kohli, 1 run,"
5,1,0.5,0,Faf du Plessis,Jaydev Unadkat,"Jaydev Unadkat to Faf du Plessis, no run,"
6,1,0.6,1,Faf du Plessis,Jaydev Unadkat,"Jaydev Unadkat to Faf du Plessis, 1 run,"
7,1,1.1,1,Faf du Plessis,Avesh Khan,"Avesh Khan to Faf du Plessis, 1 run,"
8,1,1.2,0,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, no run,"
9,1,1.3,6,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, Six,"
10,1,1.4,4,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, Four,"
11,1,1.5,0,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, no run,"
12,1,1.6,2lb,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, 2 leg bye,"
13,1,2.1,1,Faf du Plessis,Krunal Pandya,"Krunal Pandya to Faf du Plessis, 1 run,"
14,1,2.2,1,Virat Kohli,Krunal Pandya,"Krunal Pandya to Virat Kohli, 1 run,"
15,1,2.3,1,Faf du Plessis,Krunal Pandya,"Krunal Pandya to Faf du Plessis, 1 run,"
16,1,2.4,0,Virat Kohli,Krunal Pandya,"Krunal Pandya to Virat Kohli, no run,"
17,1,2.5,1,Virat Kohli,Krunal Pandya,"Krunal Pandya to Virat Kohli, 1 run,"
18,1,2.6,4,Faf du Plessis,Krunal Pandya,"Krunal Pandya to Faf du Plessis, Four,"
19,1,3.1,4,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, Four,"
20,1,3.2,0,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, no run,"
21,1,3.3,4,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, Four,"
22,1,3.4,0,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, no run,"
23,1,3.5,0,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, no run,"
24,1,3.6,0,Virat Kohli,Avesh Khan,"Avesh Khan to Virat Kohli, no run,"
