ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,1,KL Rahul,Matthew Short,"Matthew Short to KL Rahul, 1 run,"
2,1,0.2,0,Kyle Mayers,Matthew Short,"Matthew Short to Kyle Mayers, no run,"
3,1,0.3,6,Kyle Mayers,Matthew Short,"Matthew Short to Kyle Mayers, Six,"
4,1,0.4,0,Kyle Mayers,Matthew Short,"Matthew Short to Kyle Mayers, no run,"
5,1,0.5,0,Kyle Mayers,Matthew Short,"Matthew Short to Kyle Mayers, no run,"
6,1,0.6,0,Kyle Mayers,Matthew Short,"Matthew Short to Kyle Mayers, no run,"
7,1,1.1,1wd,KL Rahul,Arshdeep Singh,"Arshdeep Singh to KL Rahul, 1 wide,"
8,1,1.1,1,KL Rahul,Arshdeep Singh,"Arshdeep Singh to KL Rahul, 1 run,"
9,1,1.2,1,Kyle Mayers,Arshdeep Singh,"Arshdeep Singh to Kyle Mayers, 1 run,"
10,1,1.3,0,KL Rahul,Arshdeep Singh,"Arshdeep Singh to KL Rahul, no run,"
11,1,1.4,4,KL Rahul,Arshdeep Singh,"Arshdeep Singh to KL Rahul, Four,"
12,1,1.5,0,KL Rahul,Arshdeep Singh,"Arshdeep Singh to KL Rahul, no run,"
13,1,1.6,0,KL Rahul,Arshdeep Singh,"Arshdeep Singh to KL Rahul, no run,"
14,1,2.1,0,Kyle Mayers,Kagiso Rabada,"Kagiso Rabada to Kyle Mayers, no run,"
15,1,2.2,4,Kyle Mayers,Kagiso Rabada,"Kagiso Rabada to Kyle Mayers, Four,"
16,1,2.3,1,Kyle Mayers,Kagiso Rabada,"Kagiso Rabada to Kyle Mayers, 1 run,"
17,1,2.4,0,KL Rahul,Kagiso Rabada,"Kagiso Rabada to KL Rahul, no run,"
18,1,2.5,4,KL Rahul,Kagiso Rabada,"Kagiso Rabada to KL Rahul, Four,"
19,1,2.6,1,KL Rahul,Kagiso Rabada,"Kagiso Rabada to KL Rahul, 1 run,"
20,1,3.1,1,KL Rahul,Sam Curran,"Sam Curran to KL Rahul, 1 run,"
21,1,3.2,0,Kyle Mayers,Sam Curran,"Sam Curran to Kyle Mayers, no run,"
22,1,3.3,1,Kyle Mayers,Sam Curran,"Sam Curran to Kyle Mayers, 1 run,"
23,1,3.4,1,KL Rahul,Sam Curran,"Sam Curran to KL Rahul, 1 run,"
24,1,3.5,0,Kyle Mayers,Sam Curran,"Sam Curran to Kyle Mayers, no run,"
25,1,3.6,6,Kyle Mayers,Sam Curran,"Sam Curran to Kyle Mayers, Six,"
26,1,4.1,0,KL Rahul,Kagiso Rabada,"Kagiso Rabada to KL Rahul, no run,"
27,1,4.2,1,KL Rahul,Kagiso Rabada,"Kagiso Rabada to KL Rahul, 1 run,"
28,1,4.3,0,Kyle Mayers,Kagiso Rabada,"Kagiso Rabada to Kyle Mayers, no run,"
29,1,4.4,2,Kyle Mayers,Kagiso Rabada,"Kagiso Rabada to Kyle Mayers, 2 runs,"
30,1,4.5,6,Kyle Mayers,Kagiso Rabada,"Kagiso Rabada to Kyle Mayers, Six,"
31,1,4.6,0,Kyle Mayers,Kagiso Rabada,"Kagiso Rabada to Kyle Mayers, no run,"
32,1,5.1,4,KL Rahul,Harpreet Brar,"Harpreet Brar to KL Rahul, Four,"
33,1,5.2,1,KL Rahul,Harpreet Brar,"Harpreet Brar to KL Rahul, 1 run,"
34,1,5.3,1,Kyle Mayers,Harpreet Brar,"Harpreet Brar to Kyle Mayers, 1 run,"
35,1,5.4,0,KL Rahul,Harpreet Brar,"Harpreet Brar to KL Rahul, no run,"
36,1,5.5,1,KL Rahul,Harpreet Brar,"Harpreet Brar to KL Rahul, 1 run,"
37,1,5.6,0,Kyle Mayers,Harpreet Brar,"Harpreet Brar to Kyle Mayers, no run,"
