ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,0,David Warner,Jason Behrendorff,"Jason Behrendorff to David Warner, no run,"
2,1,0.2,1,David Warner,Jason Behrendorff,"Jason Behrendorff to David Warner, 1 run,"
3,1,0.3,4,Prithvi Shaw,Jason Behrendorff,"Jason Behrendorff to Prithvi Shaw, Four,"
4,1,0.4,1,Prithvi Shaw,Jason Behrendorff,"Jason Behrendorff to Prithvi Shaw, 1 run,"
5,1,0.5,0,David Warner,Jason Behrendorff,"Jason Behrendorff to David Warner, no run,"
6,1,0.6,1,David Warner,Jason Behrendorff,"Jason Behrendorff to David Warner, 1 run,"
7,1,1.1,4,David Warner,Arshad Khan,"Arshad Khan to David Warner, Four,"
8,1,1.2,0,David Warner,Arshad Khan,"Arshad Khan to David Warner, no run,"
9,1,1.3,1,David Warner,Arshad Khan,"Arshad Khan to David Warner, 1 run,"
10,1,1.4,1wd,Prithvi Shaw,Arshad Khan,"Arshad Khan to Prithvi Shaw, 1 wide,"
11,1,1.4,1,Prithvi Shaw,Arshad Khan,"Arshad Khan to Prithvi Shaw, 1 run,"
12,1,1.5,1,David Warner,Arshad Khan,"Arshad Khan to David Warner, 1 run,"
13,1,1.6,4,Prithvi Shaw,Arshad Khan,"Arshad Khan to Prithvi Shaw, Four,"
14,1,2.1,0,David Warner,Cameron Green,"Cameron Green to David Warner, no run,"
15,1,2.2,1,David Warner,Cameron Green,"Cameron Green to David Warner, 1 run,"
16,1,2.3,0,Prithvi Shaw,Cameron Green,"Cameron Green to Prithvi Shaw, no run,"
17,1,2.4,1,Prithvi Shaw,Cameron Green,"Cameron Green to Prithvi Shaw, 1 run,"
18,1,2.5,4,David Warner,Cameron Green,"Cameron Green to David Warner, Four,"
19,1,2.6,4,David Warner,Cameron Green,"Cameron Green to David Warner, Four,"
20,1,3.1,4,Prithvi Shaw,Hrithik Shokeen,"Hrithik Shokeen to Prithvi Shaw, Four,"
21,1,3.2,0,Prithvi Shaw,Hrithik Shokeen,"Hrithik Shokeen to Prithvi Shaw, no run,"
